City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,asekeyevo,53.5742,52.7972,63.84,56,0,6.24,RU,1687842744
287,novoagansk,61.9449,76.6625,62.71,45,39,0.54,RU,1687842744
288,kismayo,-0.3582,42.5454,79.05,76,48,15.28,SO,1687842745
289,sutysky,49.0425,28.4173,64.36,70,7,7.94,UA,1687842745
290,lapai,9.05,6.5667,72.82,97,14,2.77,NG,1687842494
291,saint-pol-de-leon,48.6833,-3.9833,56.79,84,84,1.01,FR,1687842745
292,saynshand,44.8824,110.1163,86.56,13,87,18.99,MN,1687842746
293,mananjary,-21.2167,48.3333,63.41,82,13,4.56,MG,1687842149
294,artigas,-30.4,-56.4667,70.61,70,83,13.2,UY,1687842746
295,chongwe,-15.3292,28.682,48.78,75,31,2.93,ZM,1687842747
296,jatiwangi,-6.7336,108.2628,90.77,48,34,2.75,ID,1687842747
297,vilhena,-12.7406,-60.1458,65.08,66,24,2.01,BR,1687842747
298,jinchang,38.4953,102.1739,75.4,15,98,28.7,CN,1687842747
299,chegdomyn,51.1167,133.0167,88.47,43,91,3.96,RU,1687842747
300,fale old settlement,-9.3852,-171.2468,82.83,80,96,18.57,TK,1687842748
301,saldanha,-33.0117,17.9442,53.65,95,100,2.75,ZA,1687842748
302,auriflama,-20.6856,-50.5547,60.69,62,0,6.73,BR,1687842748
303,kudat,6.8837,116.8477,87.31,64,42,10.89,MY,1687842748
304,gangtok,27.3333,88.6167,71.56,86,75,4.56,IN,1687842749
305,thief river falls,48.1191,-96.1812,67.15,83,0,0.0,US,1687842749
306,coahuayana de hidalgo,18.7,-103.6583,80.51,87,99,2.3,MX,1687842749
307,vallegrande,-18.4897,-64.1069,50.36,97,31,3.91,BO,1687842749
308,saint croix,17.7397,-64.7388,77.45,83,0,4.61,VI,1687842468
309,sept-iles,50.2001,-66.3821,52.32,89,100,16.11,CA,1687842750
310,kamaishi,39.2667,141.8833,75.18,77,100,11.32,JP,1687842750
311,bel ombre,-4.6167,55.4167,80.44,65,20,17.27,SC,1687842750
312,shingu,33.7333,135.9833,85.82,62,100,6.04,JP,1687842751
313,glace bay,46.1969,-59.957,50.9,94,100,7.0,CA,1687842751
314,lata,40.1629,-8.3327,62.92,90,16,2.21,PT,1687842751
315,grants,35.1473,-107.8514,73.63,17,0,0.0,US,1687842610
316,mermoz boabab,14.7065,-17.4758,77.56,81,77,9.4,SN,1687842751
317,kapuskasing,49.4169,-82.4331,57.29,72,100,14.97,CA,1687842109
318,whitehorse,60.7161,-135.0538,59.77,65,75,14.97,CA,1687842752
319,gillette,44.2911,-105.5022,59.95,85,0,5.75,US,1687842752
320,saint-philippe,-21.3585,55.7679,71.19,55,0,5.08,RE,1687842752
321,broken hill,-31.95,141.4333,47.48,91,100,3.31,AU,1687842753
322,katabu,-4.9333,122.5167,85.68,71,79,1.32,ID,1687842753
323,cromer,52.9312,1.2989,57.7,86,100,10.33,GB,1687842753
324,palmer,42.1584,-72.3287,72.77,80,100,0.0,US,1687842627
325,ishigaki,24.3448,124.1572,82.24,83,74,13.82,JP,1687842754
326,winnemucca,40.973,-117.7357,64.45,42,0,9.22,US,1687842754
327,ofunato,39.0717,141.7167,74.79,81,100,8.01,JP,1687842754
328,semnan,35.5729,53.3971,86.47,16,0,3.98,IR,1687842754
329,ketchikan,55.3422,-131.6461,61.27,94,100,4.61,US,1687842755
330,corner brook,48.9667,-57.9484,42.96,95,58,3.24,CA,1687842755
331,talcahuano,-36.7167,-73.1167,53.28,94,75,6.91,CL,1687842755
332,liwale,-9.7667,37.9333,62.4,56,1,5.19,TZ,1687842755
333,prien,30.1819,-93.2738,83.01,92,0,9.22,US,1687842756
334,port-cartier,50.0334,-66.8654,52.02,90,79,13.2,CA,1687842756
335,ha'il,27.5219,41.6907,88.07,11,0,4.14,SA,1687842756
336,cabedelo,-6.9811,-34.8339,74.07,86,88,9.28,BR,1687842756
337,bandar lampung,-5.4254,105.258,83.62,69,36,11.03,ID,1687842019
338,chul'man,56.8479,124.9104,78.48,40,88,6.96,RU,1687842757
339,nova sintra,14.8667,-24.7167,68.76,81,13,10.38,CV,1687842757
340,mount gambier,-37.8333,140.7667,50.07,97,100,5.66,AU,1687842757
341,butte,39.6499,-121.5677,77.02,45,0,9.22,US,1687842757
342,port saint john's,-31.6229,29.5448,63.14,90,100,13.98,ZA,1687842757
343,prince rupert,54.3161,-130.3201,64.49,83,20,10.36,CA,1687842100
344,maintirano,-18.0667,44.0167,68.29,62,4,6.69,MG,1687842758
345,brokopondo,4.75,-55.1667,76.28,90,38,7.11,SR,1687842758
346,nantucket,41.2835,-70.0995,71.74,98,100,14.97,US,1687842744
347,yudong,29.385,106.5194,96.49,50,40,12.15,CN,1687842760
348,sarkand,45.41,79.9186,88.7,15,15,12.37,KZ,1687842760
349,carrigaline,51.8117,-8.3986,62.35,94,100,13.8,IE,1687842760
350,haiku-pauwela,20.9219,-156.3051,75.51,77,40,17.27,US,1687842180
351,palikir - national government center,6.9248,158.1611,84.94,74,100,5.75,FM,1687842761
352,vanimo,-2.6741,141.3028,85.03,68,57,7.94,PG,1687842761
353,ormara,25.2088,64.6357,85.19,74,90,9.73,PK,1687842761
354,iquique,-20.2208,-70.1431,64.44,80,6,2.82,CL,1687842761
355,laguna,38.421,-121.4238,71.55,66,0,10.36,US,1687842762
356,fort st. john,56.2499,-120.8529,69.69,56,100,4.61,CA,1687842762
357,messaad,34.1543,3.5031,74.68,37,0,3.36,DZ,1687842762
358,plastun,44.7561,136.2939,71.24,72,100,6.58,RU,1687842762
359,horodok,49.1637,26.5839,63.1,77,36,8.43,UA,1687842763
360,saipan,15.1355,145.701,86.7,100,20,10.36,MP,1687842763
361,djambala,-2.5447,14.7533,66.83,92,67,3.42,CG,1687842763
362,tshabong,-26.05,22.45,55.26,45,87,9.98,BW,1687842173
